,latitude
0,17.461252
1,19.1541986
2,17.451523
3,17.4472685
4,17.4600978
5,17.3942627
6,17.3948624
7,16.449897
8,18.0823869
9,17.451523
10,17.4029622
11,17.451523
12,17.6339929
13,17.46565735
14,17.6788421
15,17.4535469
16,17.50679
17,17.6788421
18,17.5163573
19,17.4408578
20,0.0
21,17.4981608
22,17.4834027
23,17.4436222
24,17.515397
25,17.5163573
26,17.4258278
27,0.0
28,17.4930841
29,17.5022292
30,18.0823869
31,17.6788421
32,17.5271759
33,17.4308362
34,17.4917948
35,17.4436222
36,17.3948624
37,17.3506317
38,65.0563891
39,0.0
40,17.451523
41,17.4872976
42,17.3948624
43,17.4177464
44,17.50679
45,17.4930841
46,17.45121
47,17.46565735
48,18.0191012
49,0.0
50,17.4834027
51,17.5163573
52,17.4981608
53,17.3948624
54,17.4057955
55,17.4177464
56,17.4981608
57,17.4522594
58,17.451523
59,17.451523
60,17.3948624
61,16.449897
62,16.449897
63,16.449897
64,17.4258278
65,17.5043618
66,17.4258278
67,17.515397
68,17.5186631
69,17.5410548
70,17.39999505
71,0.0
72,17.3948624
73,12.8722856
74,17.4440199
75,0.0
76,17.451523
77,0.0
78,17.5284576
79,17.4546432
80,17.4454293
81,17.6788421
82,17.4685307
83,16.449897
84,17.50679
85,17.515397
86,17.4436222
87,17.4440199
88,22.1041221
89,17.4872976
90,17.451523
91,17.3926121
92,17.4930841
93,17.3775306
94,17.4057955
95,17.3948624
96,17.3948624
97,17.5163573
98,0.0
99,17.6788421
100,17.8231821
101,17.6788421
102,17.4440199
103,18.0191012
104,17.5038613
105,0.0
106,0.0
107,17.6788421
108,17.436614
109,17.46565735
110,17.451523
111,17.4308362
112,17.6788421
113,17.4440199
114,17.4930841
115,17.4258278
116,0.0
117,17.3942627
118,17.39004015
119,17.4285479
120,18.7366115
121,17.5187944
122,17.5022292
123,65.0563891
124,17.6788421
125,17.4981608
126,12.52720555
127,17.3303179
128,17.4511764
129,17.4981608
130,18.0191012
131,6.4318831
132,17.6788421
133,17.3948624
134,18.1609088
